296.25	365.56
305.49	347.33
325.01	340.34
346.93	339.31
368.42	342.08
406.78	327.78
431	310.37
458.68	298.99
489.42	296.07
517.15	306.01
394.77	351.51
397.78	377.29
400.16	403.32
402.81	430.14
387.09	440.39
400.86	444.31
416.45	446.31
432.03	436.39
446.15	427.76
328.27	371.64
338.24	361.73
353.66	357.94
370.67	363.03
356.75	368.22
341.71	372.72
441.04	344
452.82	329.73
469.37	324.64
488.3	326.41
474.8	335.05
458.54	340.53
382.25	478.27
394.23	471.17
410	466.62
425.41	466.99
443.4	459.97
470.81	455.34
501.09	451.79
480.58	484.34
457.08	500.74
437.4	506.4
420.88	507.36
401.39	499.93
413.23	473.49
428.47	472.81
447.22	466.93
451.12	485.73
432.06	491.51
416.16	491.77
