623.86	1298.1
791.13	1166.2
1006.6	1126.7
1221.9	1149.8
1418.1	1222
1791.6	1187.5
1955.7	1095.9
2126.3	1040.7
2304.5	1043.9
2429.4	1145.3
1624	1434.1
1643.1	1618.1
1665.2	1800.2
1687.8	1983.5
1443.7	2137.7
1552.5	2150.3
1653.7	2166
1746.4	2138.3
1827.5	2105.1
868.55	1492.6
1004.3	1402.8
1166.5	1401.5
1293.1	1520.3
1161.9	1554.7
996.47	1559.1
1852.6	1475.7
1975	1333.1
2125.4	1315.8
2237.8	1392.1
2152.6	1469.7
2004	1489.9
1182.7	2462.3
1373.1	2409.2
1539	2362.4
1633.2	2383.7
1728	2348.3
1848	2375.1
1965.5	2400.5
1853.2	2535
1739.1	2603.1
1635.5	2626.8
1530.5	2629.5
1365.3	2591.3
1537.6	2456.1
1634.5	2459.6
1732	2437.1
1731.2	2463.2
1632.1	2489.3
1533.9	2492.1
