314.72	364.49
320.56	352.3
333.52	349.95
348.5	351.83
362.06	357.57
394.39	346.25
420.62	328.38
451.4	319.88
484.11	322.9
514.05	335.86
382.99	379.97
382.38	402.94
380.87	425.76
379.91	449.59
372.42	462.94
384.77	468.87
399.89	471.49
416.41	462.65
433.19	456.17
337.84	393.85
345.67	385.55
358.95	384.17
374.23	390.03
360.92	393.46
347.99	396
433.69	377.47
445.11	365.29
461.45	362.08
481.62	364.4
465.74	371.06
449.64	375.5
378.77	498.47
386.93	492.06
401.41	488.82
416.42	490.03
435.87	483.86
470.98	480.31
509.16	478.21
482.31	519.05
452	538.09
430.82	542.76
414.16	542.05
395.48	529.2
405.06	497.06
419.65	497.05
439.77	492.19
445	522.57
424.57	526.4
408.89	524.74
