716.32	658.45
773.02	633.39
834.64	632.74
893.31	649.47
944.45	676.14
1037.4	681.52
1083.4	667.18
1128.2	660.18
1171.1	665.4
1198	692.01
982.95	736.19
980.18	786.2
978.38	835.92
976.58	886.74
899.53	910.84
928.09	921.89
956.07	933.31
984.31	928.49
1007.9	920.16
777.97	716.73
818.45	705.02
858.66	709.7
885	737.55
851.83	741.83
811.3	736.89
1039	749.07
1072.9	726.21
1108.9	728.17
1134.2	746.46
1109.5	760.57
1074.1	759.42
822.72	1005.6
870.53	985.3
915.57	975.56
939.17	985.01
964.53	981.05
991.81	997.5
1011.8	1023.1
983.14	1065.7
953.86	1084.3
926.71	1086.3
899.18	1081.8
859.48	1058.7
911.22	1001.8
935.98	1006.4
960.94	1006.2
958	1041.3
932.01	1044.1
906.67	1039.7
